REF_DATE,City,Age group,Gender,VALUE
1978,Montréal,45 to 54 years,Femme,36000.0
1978,Montréal,55 to 64 years,Homme,62900.0
1978,Montréal,55 to 64 years,Femme,25700.0
1978,Montréal,65 years and over,Homme,29700.0
1978,Montréal,65 years and over,Femme,15900.0
1978,Ottawa,15 to 24 years,Homme,26700.0
1978,Ottawa,15 to 24 years,Femme,25500.0
1978,Ottawa,25 to 34 years,Homme,67100.0
1978,Ottawa,25 to 34 years,Femme,46600.0
1978,Ottawa,35 to 44 years,Homme,100300.0
1978,Ottawa,35 to 44 years,Femme,33800.0
1978,Ottawa,45 to 54 years,Homme,94800.0
1978,Ottawa,45 to 54 years,Femme,35000.0
1978,Ottawa,55 to 64 years,Homme,92500.0
1978,Ottawa,55 to 64 years,Femme,
1978,Ottawa,65 years and over,Homme,29600.0
1978,Ottawa,65 years and over,Femme,16300.0
1978,Toronto,15 to 24 years,Homme,19500.0
1978,Toronto,15 to 24 years,Femme,19600.0
1978,Toronto,25 to 34 years,Homme,64200.0
1978,Toronto,25 to 34 years,Femme,39100.0
1978,Toronto,35 to 44 years,Homme,81500.0
1978,Toronto,35 to 44 years,Femme,35500.0
1978,Toronto,45 to 54 years,Homme,81900.0
1978,Toronto,45 to 54 years,Femme,39200.0
1978,Toronto,55 to 64 years,Homme,72500.0
1978,Toronto,55 to 64 years,Femme,33000.0
1978,Toronto,65 years and over,Homme,21000.0
1978,Toronto,65 years and over,Femme,16900.0
1978,Winnipeg,15 to 24 years,Homme,19100.0
1978,Winnipeg,15 to 24 years,Femme,17600.0
1978,Winnipeg,25 to 34 years,Homme,52800.0
1978,Winnipeg,25 to 34 years,Femme,33200.0
1978,Winnipeg,35 to 44 years,Homme,82500.0
1978,Winnipeg,35 to 44 years,Femme,37900.0
1978,Winnipeg,45 to 54 years,Homme,83800.0
1978,Winnipeg,45 to 54 years,Femme,33700.0
1978,Winnipeg,55 to 64 years,Homme,67300.0
1978,Winnipeg,55 to 64 years,Femme,33800.0
1978,Winnipeg,65 years and over,Homme,26000.0
1978,Winnipeg,65 years and over,Femme,16700.0
1978,Calgary,15 to 24 years,Homme,37800.0
1978,Calgary,15 to 24 years,Femme,27800.0
1978,Calgary,25 to 34 years,Homme,72600.0
1978,Calgary,25 to 34 years,Femme,34700.0
1978,Calgary,35 to 44 years,Homme,92300.0
1978,Calgary,35 to 44 years,Femme,37000.0
1978,Calgary,45 to 54 years,Homme,96500.0
1978,Calgary,45 to 54 years,Femme,43400.0
1978,Calgary,55 to 64 years,Homme,79100.0
1978,Calgary,55 to 64 years,Femme,20600.0
1978,Calgary,65 years and over,Homme,23000.0
1978,Calgary,65 years and over,Femme,18400.0
1978,Edmonton,15 to 24 years,Homme,22800.0
1978,Edmonton,15 to 24 years,Femme,17000.0
1978,Edmonton,25 to 34 years,Homme,68100.0
1978,Edmonton,25 to 34 years,Femme,38500.0
1978,Edmonton,35 to 44 years,Homme,91500.0
1978,Edmonton,35 to 44 years,Femme,25500.0
1978,Edmonton,45 to 54 years,Homme,98900.0
1978,Edmonton,45 to 54 years,Femme,44000.0
